,Player,Salary,Team,League,Position,Salary_mean,Salary_std_dev,Z_Score,Salary_pos_mean,Salary_pos_std_dev,Pos_Z_Score
0,Mitch Marner,16000000.0,TOR,NHL,RW,3427411.3242009133,2909250.513300006,4.321590257807608,3964828.7671232875,3344184.4039931404,3.598836002735392
1,John Tavares,15900000.0,TOR,NHL,C,3427411.3242009133,2909250.513300006,4.287217143652317,3643020.565217391,3141688.718201607,3.901398430650016
2,Auston Matthews,15900000.0,TOR,NHL,C,3427411.3242009133,2909250.513300006,4.287217143652317,3643020.565217391,3141688.718201607,3.901398430650016
3,Connor McDavid,15000000.0,EDM,NHL,C,3427411.3242009133,2909250.513300006,3.9778591162546975,3643020.565217391,3141688.718201607,3.614928292858903
4,Carey Price,15000000.0,MTL,NHL,G,3427411.3242009133,2909250.513300006,3.9778591162546975,3559541.6666666665,2802129.165189206,4.082773369428475
5,Artemi Panarin,14000000.0,NYR,NHL,LW,3427411.3242009133,2909250.513300006,3.6341279747017876,3241309.4660194176,2842937.043992421,3.7843576440482245
6,Tyler Seguin,13500000.0,DAL,NHL,C,3427411.3242009133,2909250.513300006,3.4622624039253327,3643020.565217391,3141688.718201607,3.1374780632070474
7,Jamie Benn,13000000.0,DAL,NHL,LW,3427411.3242009133,2909250.513300006,3.2903968331488778,3241309.4660194176,2842937.043992421,3.432608736307492
8,Jacob Trouba,12000000.0,NYR,NHL,D,3427411.3242009133,2909250.513300006,2.946665691595968,3088056.579439252,2532520.1975314417,3.5190019132908037
9,Drew Doughty,12000000.0,LAK,NHL,D,3427411.3242009133,2909250.513300006,2.946665691595968,3088056.579439252,2532520.1975314417,3.5190019132908037
10,Nikita Kucherov,12000000.0,TBL,NHL,RW,3427411.3242009133,2909250.513300006,2.946665691595968,3964828.7671232875,3344184.4039931404,2.402729712895699
11,Mikko Rantanen,12000000.0,COL,NHL,RW,3427411.3242009133,2909250.513300006,2.946665691595968,3964828.7671232875,3344184.4039931404,2.402729712895699
12,Mark Stone,12000000.0,VEG,NHL,RW,3427411.3242009133,2909250.513300006,2.946665691595968,3964828.7671232875,3344184.4039931404,2.402729712895699
15,Sebastian Aho,12000000.0,CAR,NHL,C,3427411.3242009133,2909250.513300006,2.946665691595968,3643020.565217391,3141688.718201607,2.6600278335551923
16,John Carlson,12000000.0,WSH,NHL,D,3427411.3242009133,2909250.513300006,2.946665691595968,3088056.579439252,2532520.1975314417,3.5190019132908037
17,Sergei Bobrovsky,11500000.0,FLA,NHL,G,3427411.3242009133,2909250.513300006,2.774800120819513,3559541.6666666665,2802129.165189206,2.833723167360551
