,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
0,Carlos Vela,LAFC,F,31,31,2726,34,15,160,71,9/11,21.3,44.4
1,Zlatan Ibrahimovic,LA,F,29,29,2610,30,7,151,65,6/7,19.9,43.0
2,Josef Martinez,ATL,F,29,29,2581,27,4,117,50,5/6,23.1,42.7
3,Diego Rossi,LAFC,F,34,33,2899,16,7,108,49,0/0,14.8,45.4
4,Kei Kamara,COL,F,29,29,2541,14,1,94,44,4/7,14.9,46.8
5,Daniel Royer,RBNY,M,31,26,2321,11,8,85,38,4/5,12.9,44.7
6,Kacper Przybylko,PHI,F,26,25,2241,15,4,81,37,0/1,18.5,45.7
7,Jefferson Savarino,RSL,F,28,27,2320,8,5,79,37,0/0,10.1,46.8
8,Vako,SJ,M,32,24,2097,8,5,110,36,0/0,7.3,32.7
9,Cristian Espinoza,SJ,M,30,30,2533,2,13,95,36,0/0,2.1,37.9
10,Alexandru Mitrita,NYC,F,29,24,2131,12,3,94,34,0/0,12.8,36.2
11,Alberth Elis,HOU,F,26,22,1921,9,10,82,33,2/2,11.0,40.2
12,Chris Wondolowski,SJ,F,32,24,1982,15,2,79,33,0/0,19.0,41.8
13,Sebastian Blanco,POR,M-F,30,28,2511,6,11,106,32,0/0,5.7,30.2
14,Diego Valeri,POR,M,31,29,2600,8,16,83,32,2/4,9.6,38.6
15,Valentin Castellanos,NYC,F,30,23,2052,11,7,80,31,0/0,13.8,38.8
16,Aleksandar Katai,CHI,M,29,24,2103,6,7,105,31,0/0,5.7,29.5
17,Albert Rusnak,RSL,M,29,28,2456,10,5,76,31,4/5,13.2,40.8
18,Alejandro Pozuelo,TOR,M,30,28,2524,12,12,76,31,5/6,15.8,40.8
19,Brian Fernandez,POR,F,19,16,1411,11,1,69,30,0/0,15.9,43.5
20,Mauro Manotas,HOU,F,32,28,2539,13,8,92,30,1/2,14.1,32.6
21,Felipe Gutiérrez,SKC,M,32,31,2722,12,3,65,29,5/6,18.5,44.6
22,Christian Ramirez,HOU,F,27,20,1628,9,3,52,28,0/0,17.3,53.8
23,Raul Ruidiaz,SEA,F,22,20,1793,11,3,72,28,0/0,15.3,38.9
24,Nicolas Mezquida,COL,F-M,32,11,1405,4,6,66,27,1/1,6.1,40.9
0,Yordy Reyna,VAN,M-F,25,22,1988,7,1,60,27,0/1,11.7,45.0
