,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%
0,Vito Mannone,MIN,GK,34,34,3060,175,129,43,1.26,3/4,15,11,8,11,44.1,73.7
1,Brad Guzan,ATL,GK,34,34,3060,135,91,43,1.26,3/5,18,12,4,14,52.9,67.4
2,Daniel Vega,SJ,GK,34,34,3060,164,108,55,1.62,4/7,13,16,5,7,38.2,65.9
3,Stefan Frei,SEA,GK,34,34,3060,165,116,49,1.44,5/5,16,10,8,10,47.1,70.3
4,Bill Hamid,DC,GK,33,33,2970,168,126,37,1.12,1/5,12,10,11,14,36.4,75.0
5,Luis Robles,MIA,GK,33,33,2970,138,88,50,1.52,6/7,13,14,6,9,39.4,63.8
6,David Bingham,LA,GK,33,33,2970,195,141,55,1.67,6/8,16,14,3,8,48.5,72.3
7,Tim Melia,SKC,GK,32,32,2880,173,111,60,1.88,1/4,10,15,7,6,31.3,64.2
8,Evan Bush,MTL,GK,32,32,2880,144,84,59,1.84,6/7,11,17,4,7,34.4,58.3
9,Brian Rowe,ORL,GK,32,32,2880,160,110,49,1.53,1/1,9,14,9,7,28.1,68.8
10,Jesse Gonzalez,DAL,GK,32,32,2880,128,84,42,1.31,5/7,13,11,8,8,40.6,65.6
11,Sean Johnson,NYC,GK,29,29,2610,116,78,36,1.24,8/10,14,5,10,7,48.3,67.2
12,Nick Rimando,RSL,GK,29,29,2610,113,75,35,1.21,3/4,14,11,4,10,48.3,66.4
13,Quentin Westberg,TOR,GK,28,28,2505,115,75,41,1.46,7/10,9,9,9,4,32.1,65.2
14,Tyler Miller,MIN,GK,28,28,2520,103,72,28,1.0,2/2,18,2,8,9,64.3,69.9
15,Joe Willis,NSH,GK,27,27,2430,133,88,44,1.63,7/7,10,13,4,3,37.0,66.2
16,Andre Blake,PHI,GK,26,26,2304,103,59,41,1.58,3/4,11,10,5,3,42.3,57.3
17,Maxime Crepeau,VAN,GK,26,26,2340,159,114,46,1.77,7/7,7,13,6,5,26.9,71.7
18,Tim Howard,COL,GK,25,25,2159,117,73,46,1.84,5/6,8,12,4,5,32.0,62.4
19,Steve Clark,POR,GK,24,24,2160,109,84,25,1.04,3/4,13,6,5,6,54.2,77.1
20,Matt Turner,NE,GK,20,20,1766,116,87,27,1.35,1/1,8,4,7,5,40.0,75.0
21,Kenneth Kronholm,CHI,GK,20,20,1800,87,58,27,1.35,3/3,6,6,8,5,30.0,66.7
22,Spencer Richey,CIN,GK,19,19,1710,106,61,45,2.37,2/5,5,12,2,2,26.3,57.5
23,Przemyslaw Tyton,CIN,GK,15,15,1350,62,32,30,2.0,1/2,1,10,4,3,6.7,51.6
24,David Ousted,CHI,GK,14,14,1260,56,34,20,1.43,1/2,4,6,4,4,28.6,60.7
0,Zack Steffen,CLB,GK,13,13,1170,56,39,17,1.31,1/2,5,6,2,4,38.5,69.6
1,Eloy Room,CLB,GK,12,12,1080,47,33,14,1.17,2/2,5,2,5,1,41.7,70.2
2,Clint Irwin,COL,GK,11,9,901,58,42,17,1.89,2/3,4,4,2,1,36.4,72.4
3,Jeff Attinella,POR,GK,10,10,900,64,40,24,2.4,3/3,1,7,2,0,10.0,62.5
4,Brad Knighton,NE,GK,8,7,662,29,16,13,1.86,1/1,1,3,4,0,12.5,55.2
5,Zac MacMath,RSL,GK,8,8,720,52,37,13,1.63,1/1,1,3,4,0,12.5,71.2
6,Alex Bono,TOR,GK,7,6,555,28,16,11,1.83,3/3,4,1,2,1,57.1,57.1
7,Cody Cropper,HOU,GK,7,7,630,49,29,17,2.43,2/2,2,4,1,1,28.6,59.2
8,Tyler Deric,HOU,GK,7,7,630,36,19,15,2.14,0/0,2,5,0,0,28.6,52.8
9,Matt Freese,PHI,GK,6,5,437,23,13,7,1.4,2/2,1,1,2,0,16.7,56.5
10,Joe Bendik,PHI,GK,6,6,540,27,14,12,2.0,1/1,0,5,1,0,0.0,51.9
11,Pablo Sisniega,LAFC,GK,6,6,540,26,17,9,1.5,0/1,3,2,1,0,50.0,65.4
12,Andrew Putna,RSL,GK,5,5,450,19,12,6,1.2,0/1,2,2,1,2,40.0,63.2
13,Brad Stuver,NYC,GK,5,5,450,14,10,6,1.2,0/0,4,1,0,1,80.0,71.4
14,Carlos Miguel Coronel,PHI,GK,4,3,319,11,9,2,0.67,0/0,4,0,0,1,100.0,81.8
15,Jon Kempin,CLB,GK,3,3,270,8,4,4,1.33,0/0,0,3,0,0,0.0,50.0
16,Jimmy Maurer,DAL,GK,2,2,180,12,8,4,2.0,0/1,0,1,1,0,0.0,66.7
17,Clement Diop,MTL,GK,2,2,180,7,6,1,0.5,0/0,1,0,1,1,50.0,85.7
18,Greg Ranjitsingh,MIN,GK,2,2,180,7,4,3,1.5,0/0,0,1,1,0,0.0,57.1
19,Adrian Zendejas,NSH,GK,1,1,90,4,3,1,1.0,1/1,0,0,1,0,0.0,75.0
20,Eric Dick,SKC,GK,1,1,90,9,3,6,6.0,0/0,0,1,0,0,0.0,33.3
21,Matt Lampson,CLB,GK,1,1,90,7,3,4,4.0,0/0,0,1,0,0,0.0,42.9
22,Ryan Meara,RBNY,GK,1,1,90,5,4,1,1.0,0/0,1,0,0,0,100.0,80.0
23,Chris Seitz,DC,GK,1,1,90,3,2,1,1.0,1/1,1,0,0,0,100.0,66.7
24,Bobby Shuttleworth,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
0,Caleb Patterson-Sewell,TOR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
1,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
2,Earl Edwards Jr.,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
3,Aljaz Ivacic,POR,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
4,Sean Melvin,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
5,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
6,Alex Horwath,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
7,Ben Lundgaard,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
8,Michael Nelson,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
9,Jason Beaulieu,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
10,Phillip Ejimadu,LAFC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
11,Gabriel Slonina,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
12,Jimmy Hague,CIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
13,Stefan Cleveland,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
14,Mason Stajduhar,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
15,Andrew Tarbell,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
16,Andre Rawls,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
17,Trey Muse,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
18,James Pantemis,MTL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
19,Luis Barraza,NYC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
20,Evan Louro,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
21,Dayne St. Clair,MIN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
22,Justin Vom Steeg,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
23,Kyle Zobeck,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
24,Alec Kann,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
0,Kendall McIntosh,RBNY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
1,Matt Bersano,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
2,Brendan Moore,ATL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
3,Jeff Caldwell,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
4,Adam Grinwis,ORL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
5,Thomas Hasal,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
6,David Ochoa,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0
