Rk,Player,Player_ID,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
1,Stephen Curry,curryst01,GSW,"$40,231,758.00","$43,006,362.00","$45,780,966.00",,,,Bird Rights,"$129,019,086.00"
2,Chris Paul,paulch01,OKC,"$38,506,482.00","$41,358,814.00","$44,211,146.00",,,,Bird Rights,"$79,865,296.00"
3,Russell Westbrook,westbru01,HOU,"$38,178,000.00","$41,006,000.00","$43,848,000.00","$46,662,000.00",,,Bird Rights,"$123,032,000.00"
4,John Wall,walljo01,WAS,"$37,800,000.00","$40,824,000.00","$43,848,000.00","$46,872,000.00",,,Bird Rights,"$122,472,000.00"
5,James Harden,hardeja01,HOU,"$37,800,000.00","$40,824,000.00","$43,848,000.00","$46,872,000.00",,,Bird Rights,"$122,472,000.00"
6,LeBron James,jamesle01,LAL,"$37,436,858.00","$39,219,565.00","$41,002,273.00",,,,Cap Space,"$76,656,423.00"
7,Kevin Durant,duranke01,BRK,"$37,199,000.00","$39,058,950.00","$40,918,900.00","$42,778,850.00",,,Sign and Trade,"$117,176,850.00"
8,Blake Griffin,griffbl01,DET,"$34,234,964.00","$36,595,996.00","$38,957,028.00",,,,Bird Rights,"$70,830,960.00"
9,Kyle Lowry,lowryky01,TOR,"$33,296,296.00","$30,000,000.00",,,,,Bird Rights,"$63,296,296.00"
10,Paul George,georgpa01,LAC,"$33,005,556.00","$35,450,412.00","$37,895,268.00",,,,Maximum Salary,"$68,455,968.00"
11,Klay Thompson,thompkl01,GSW,"$32,742,000.00","$35,361,360.00","$37,980,720.00","$40,600,080.00","$43,219,440.00",,Bird Rights,"$189,903,600.00"
12,Jimmy Butler,butleji01,MIA,"$32,742,000.00","$34,379,100.00","$36,016,200.00","$37,653,300.00",,,Sign and Trade,"$103,137,300.00"
13,Kemba Walker,walkeke02,BOS,"$32,742,000.00","$34,379,100.00","$36,016,200.00","$37,653,300.00",,,Sign and Trade,"$103,137,300.00"
14,Kawhi Leonard,leonaka01,LAC,"$32,742,000.00","$34,379,100.00","$36,016,200.00",,,,Cap Space,"$67,121,100.00"
15,Gordon Hayward,haywago01,BOS,"$32,700,690.00","$34,187,085.00",,,,,Cap space,"$32,700,690.00"
16,Mike Conley,conlemi01,UTA,"$32,511,623.00","$34,504,132.00",,,,,Cap Space,"$54,938,006.00"
17,Kyrie Irving,irvinky01,BRK,"$31,742,000.00","$33,329,100.00","$34,916,200.00","$36,503,300.00",,,Cap space,"$136,490,600.00"
18,Tobias Harris,harrito02,PHI,"$31,034,483.00","$33,517,241.00","$36,000,000.00","$38,482,759.00","$40,965,517.00",,Bird Rights,"$180,000,000.00"
19,Khris Middleton,middlkh01,MIL,"$30,603,448.00","$33,051,724.00","$35,500,000.00","$37,948,276.00","$40,396,552.00",,Bird Rights,"$137,103,448.00"
20,Paul Millsap,millspa01,DEN,"$30,500,000.00",,,,,,Cap space,"$30,500,000.00"
21,Damian Lillard,lillada01,POR,"$29,802,321.00","$31,626,953.00","$43,750,000.00","$47,250,000.00","$50,750,000.00","$54,250,000.00",1st Round Pick,"$257,429,274.00"
22,Kevin Love,loveke01,CLE,"$28,900,000.00","$31,300,000.00","$31,300,000.00","$28,900,000.00",,,Bird Rights,"$120,400,000.00"
23,Nikola Vučević,vucevni01,ORL,"$28,000,000.00","$26,000,000.00","$24,000,000.00","$22,000,000.00",,,Bird Rights,"$100,000,000.00"
24,Al Horford,horfoal01,PHI,"$28,000,000.00","$27,500,000.00","$27,000,000.00","$26,500,000.00",,,Cap Space,"$97,000,000.00"
25,DeMar DeRozan,derozde01,SAS,"$27,739,975.00","$27,739,975.00",,,,,Cap Space,"$27,739,975.00"
26,CJ McCollum,mccolcj01,POR,"$27,556,959.00","$29,354,152.00","$30,864,198.00","$33,333,333.00","$35,802,469.00",,1st Round Pick,"$156,911,111.00"
27,Joel Embiid,embiijo01,PHI,"$27,504,630.00","$29,542,010.00","$31,579,390.00","$33,616,770.00",,,1st Round Pick,"$122,242,800.00"
28,Andrew Wiggins,wiggian01,GSW,"$27,504,630.00","$29,542,010.00","$31,579,390.00","$33,616,770.00",,,1st Round Pick,"$122,242,800.00"
29,Kristaps Porziņģis,porzikr01,DAL,"$27,285,000.00","$29,467,800.00","$31,650,600.00","$33,833,400.00","$36,016,200.00",,Bird Rights,"$122,236,800.00"
30,D'Angelo Russell,russeda01,MIN,"$27,285,000.00","$28,649,250.00","$30,013,500.00","$31,377,750.00",,,Sign and Trade,"$117,325,500.00"
31,Otto Porter,porteot01,CHI,"$27,250,576.00","$28,489,239.00",,,,,Bird Rights,"$27,250,576.00"
32,Devin Booker,bookede01,PHO,"$27,250,000.00","$29,430,000.00","$31,610,000.00","$33,790,000.00","$35,970,000.00",,1st round pick,"$158,050,000.00"
33,Karl-Anthony Towns,townska01,MIN,"$27,250,000.00","$29,430,000.00","$31,610,000.00","$33,790,000.00","$35,970,000.00",,1st Round Pick,"$155,870,000.00"
34,Bradley Beal,bealbr01,WAS,"$27,093,019.00","$28,751,775.00","$34,502,130.00","$37,262,300.00",,,Cap Space,"$90,346,924.00"
35,Anthony Davis,davisan02,LAL,"$27,093,019.00","$28,751,775.00",,,,,1st Round Pick,"$27,093,019.00"
36,Andre Drummond,drumman01,CLE,"$27,093,019.00","$28,751,775.00",,,,,Cap Space,"$27,093,019.00"
37,Hassan Whiteside,whiteha01,POR,"$27,093,018.00",,,,,,Cap Space,"$27,093,018.00"
38,Nikola Jokić,jokicni01,DEN,"$26,573,595.00","$28,542,009.00","$30,510,423.00","$32,478,837.00",,,Bird Rights,"$118,104,864.00"
39,Jrue Holiday,holidjr01,NOP,"$26,131,111.00","$26,131,111.00","$27,020,000.00",,,,Bird Rights,"$52,262,222.00"
40,LaMarcus Aldridge,aldrila01,SAS,"$26,000,000.00","$24,000,000.00",,,,,Cap Space,"$50,000,000.00"
41,Steven Adams,adamsst01,OKC,"$25,842,697.00","$27,528,090.00",,,,,1st Round Pick,"$53,370,787.00"
42,Giannis Antetokounmpo,antetgi01,MIL,"$25,842,697.00","$27,528,090.00",,,,,1st Round Pick,"$53,370,787.00"
43,Marc Gasol,gasolma01,TOR,"$25,595,700.00",,,,,,Bird Rights,"$25,595,700.00"
44,Nicolas Batum,batumni01,CHO,"$25,565,217.00","$27,130,434.00",,,,,Cap Space,"$25,565,217.00"
45,Chandler Parsons,parsoch01,ATL,"$25,102,511.00",,,,,,,"$25,102,511.00"
46,Rudy Gobert,goberru01,UTA,"$25,008,427.00","$26,525,281.00",,,,,1st Round Pick,"$51,533,708.00"
47,Harrison Barnes,barneha02,SAC,"$24,147,727.00","$22,215,909.00","$20,284,091.00","$18,352,273.00",,,Bird Rights,"$85,000,000.00"
48,Serge Ibaka,ibakase01,TOR,"$23,271,604.00",,,,,,Cap space,"$23,271,604.00"
49,Danilo Gallinari,gallida01,OKC,"$22,615,559.00",,,,,,Sign and Trade,"$22,615,559.00"
50,Victor Oladipo,oladivi01,IND,"$21,000,000.00","$21,000,000.00",,,,,1st Round Pick,"$42,000,000.00"
51,Malcolm Brogdon,brogdma01,IND,"$20,000,000.00","$20,700,000.00","$21,700,000.00","$22,600,000.00",,,Sign and Trade,"$85,000,000.00"
52,Terry Rozier,roziete01,CHO,"$19,894,737.00","$18,900,000.00","$17,905,263.00",,,,Sign and Trade,"$56,700,000.00"
53,Aaron Gordon,gordoaa01,ORL,"$19,863,636.00","$18,136,364.00","$16,409,091.00",,,,Bird Rights,"$54,409,091.00"
54,Zach LaVine,lavinza01,CHI,"$19,500,000.00","$19,500,000.00","$19,500,000.00",,,,Cap space,"$58,500,000.00"
55,Kent Bazemore,bazemke01,SAC,"$19,269,662.00",,,,,,Cap Space,"$19,269,662.00"
56,Tyler Johnson,johnsty01,PHO,"$19,245,370.00",,,,,,,"$19,245,370.00"
57,Goran Dragić,dragigo01,MIA,"$19,217,900.00",,,,,,Bird Rights,"$19,217,900.00"
58,Jeff Teague,teaguje01,ATL,"$19,000,000.00",,,,,,Cap space,"$19,000,000.00"
59,Evan Turner,turneev01,MIN,"$18,606,557.00",,,,,,Cap Space,"$18,606,557.00"
60,Draymond Green,greendr01,GSW,"$18,539,130.00","$22,246,956.00","$24,026,712.00","$25,806,469.00","$27,586,225.00",,Bird Rights,"$90,619,267.00"
61,Tristan Thompson,thomptr01,CLE,"$18,539,130.00",,,,,,Bird Rights,"$18,539,130.00"
62,Tim Hardaway,hardati02,DAL,"$18,150,000.00","$18,975,000.00",,,,,Cap space,"$18,150,000.00"
63,Myles Turner,turnemy01,IND,"$18,000,000.00","$18,000,000.00","$18,000,000.00","$18,000,000.00",,,1st Round pick,"$72,000,000.00"
64,Julius Randle,randlju01,NYK,"$18,000,000.00","$18,900,000.00","$19,800,000.00",,,,Cap Space,"$40,900,000.00"
