Rk,Player,Player_ID,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Deonte Harris*+,HarrDe07,NOR,22,,14,1,36,338,1,53,9.4,24,644,0,51,26.8,1037
2,Richie James,JameRi00,SFO,24,,16,1,33,264,0,32,8,20,428,0,81,21.4,849
3,Andre Roberts*,RobeAn00,BUF,31,,13,0,28,223,0,22,8,25,664,0,66,26.6,914
4,Kenjon Barner,BarnKe00,ATL,29,,14,0,35,267,1,78,7.6,17,406,0,47,23.9,723
5,Trevor Davis,DaviTr03,3TM,26,,14,4,22,145,0,32,6.6,23,506,0,52,22,835
6,Mecole Hardman*,HardMe00,KAN,21,wr,16,5,18,167,0,36,9.3,27,704,1,104,26.1,1426
7,De'Anthony Thomas,ThomDe05,2TM,26,,14,0,26,148,0,20,5.7,17,321,0,31,18.9,480
8,Pharoh Cooper,CoopPh00,2TM,24,,13,1,17,129,0,29,7.6,25,561,0,39,22.4,935
9,Diontae Spencer,SpenDi00,DEN,27,,16,2,26,208,0,42,8,15,436,0,60,29.1,681
10,Steven Sims,SimsSt00,WAS,22,,16,2,6,26,0,11,4.3,32,819,1,91,25.6,1240
11,Desmond King,KingDe01,LAC,25,DB,15,8,21,118,1,68,5.6,16,331,0,43,20.7,462
12,Jamal Agnew,AgneJa00,DET,24,,13,0,19,175,1,64,9.2,17,454,1,100,26.7,636
13,DeAndre Carter,CartDe02,HOU,26,,16,3,22,214,0,23,9.7,14,308,0,31,22,684
14,Tarik Cohen,CoheTa00,CHI,24,RB,16,11,33,302,0,71,9.2,2,23,0,16,11.5,994
15,Dontrell Hilliard,HillDo00,CLE,24,,14,0,15,107,0,18,7.1,17,421,0,74,24.8,669
16,Jojo Natson,NatsJo00,LAR,25,,12,0,19,149,0,35,7.8,13,289,0,30,22.2,438
17,Alex Erickson,EricAl01,CIN,27,wr,16,6,25,157,0,17,6.3,4,79,0,26,19.8,798
18,Jakeem Grant,GranJa00,MIA,27,,10,2,5,6,0,5,1.2,23,578,1,101,25.1,753
19,Cordarrelle Patterson*+,PattCo00,CHI,28,,16,4,,,,,,28,825,1,102,29.5,1011
20,Tyler Ervin,ErviTy00,2TM,26,,10,0,16,115,0,18,7.2,11,267,0,45,24.3,403
21,Tyler Lockett,LockTy00,SEA,27,WR,16,16,13,66,0,20,5.1,14,279,0,33,19.9,1397
22,T.J. Logan,LogaT.00,TAM,25,,12,0,13,124,0,40,9.5,13,271,0,39,20.8,418
23,Braxton Berrios,BerrBr00,NYJ,24,,16,0,21,240,0,26,11.4,4,48,0,25,12,403
24,Cody Latimer,LatiCo00,NYG,27,wr,15,10,,,,,,24,570,0,50,23.8,870
25,Brandon Bolden,BoldBr00,NWE,29,,15,2,,,,,,23,515,0,38,22.4,694
26,Dede Westbrook,WestDe00,JAX,26,WR,15,11,23,132,0,43,5.7,,,,,,819
27,Kalif Raymond,RaymKa00,TEN,25,,8,1,4,45,0,14,11.3,18,403,0,45,22.4,613
28,Michael Walker,WalkMi00,JAX,23,,7,0,3,13,0,7,4.3,18,411,0,35,22.8,439
