Rk,Player,Player_ID,Pos,Tm,Salary
1,Kirk Cousins,CousKi00,QB,MIN,"$27,500,000.00"
2,Jameis Winston,WinsJa00,QB,TAM,"$20,922,000.00"
,Marcus Mariota,MariMa01,QB,TEN,"$20,922,000.00"
4,Derek Carr,CarrDe02,QB,OAK,"$19,900,000.00"
5,Joe Flacco,FlacJo00,QB,DEN,"$18,500,000.00"
6,Jimmy Garoppolo,GaroJi00,QB,SFO,"$17,200,000.00"
7,Melvin Ingram,IngrMe00,DE,LAC,"$17,000,000.00"
,Mike Evans,EvanMi00,WR,TAM,"$17,000,000.00"
,Von Miller,MillVo00,LB,DEN,"$17,000,000.00"
10,Odell Beckham Jr.,BeckOd00,WR,CLE,"$16,750,000.00"
11,Chandler Jones,JoneCh03,DE,ARI,"$16,500,000.00"
12,Cam Newton,NewtCa00,QB,CAR,"$16,200,000.00"
13,Andy Dalton,DaltAn00,QB,CIN,"$16,000,000.00"
14,Jadeveon Clowney,ClowJa00,DE,SEA,"$15,967,200.00"
15,Olivier Vernon,VernOl00,DE,CLE,"$15,250,000.00"
16,Grady Jarrett,JarrGr00,DT,ATL,"$15,209,000.00"
17,Antonio Brown,BrowAn04,WR,NWE,"$14,625,000.00"
18,Taylor Lewan,LewaTa00,OT,TEN,"$14,500,000.00"
19,Leonard Williams,WillLe02,DT,2TM,"$14,200,000.00"
20,Tom Brady,BradTo00,QB,NWE,"$14,000,000.00"
21,Amari Cooper,CoopAm00,WR,DAL,"$13,924,000.00"
22,Jason Pierre-Paul,PierJa99,DE,TAM,"$13,650,000.00"
23,Matthew Stafford,StafMa00,QB,DET,"$13,500,000.00"
24,Reshad Jones,JoneRe99,DB,MIA,"$13,015,000.00"
25,A.J. Bouye,BouyA.00,CB,JAX,"$13,000,000.00"
,Andrew Norwell,NorwAn01,G,JAX,"$13,000,000.00"
,J.J. Watt,WattJ.00,DE,HOU,"$13,000,000.00"
,Russell Okung,OkunRu20,T,LAC,"$13,000,000.00"
,T.Y. Hilton,HiltT.00,WR,IND,"$13,000,000.00"
30,Nate Solder,SoldNa00,T,NYG,"$12,900,000.00"
31,Vic Beasley,BeasVi00,OLB,ATL,"$12,810,000.00"
32,Darius Slay,SlayDa00,CB,DET,"$12,550,000.00"
33,Brandon Scherff,ScheBr00,G,WAS,"$12,525,000.00"
34,DeAndre Hopkins,HopkDe00,WR,HOU,"$12,500,000.00"
,Kawann Short,ShorKa00,DT,CAR,"$12,500,000.00"
,Jarvis Landry,LandJa00,WR,CLE,"$12,500,000.00"
37,Calais Campbell,CampCa99,DE,JAX,"$12,000,000.00"
38,Sammy Watkins,WatkSa00,WR,KAN,"$11,950,000.00"
39,Alshon Jeffery,JeffAl00,WR,PHI,"$11,750,000.00"
40,Eli Manning,MannEl00,QB,NYG,"$11,500,000.00"
41,Philip Rivers,RivePh00,QB,LAC,"$11,000,000.00"
,Larry Fitzgerald,FitzLa00,WR,ARI,"$11,000,000.00"
,Josh Norman,NormJo01,CB,WAS,"$11,000,000.00"
,Patrick Peterson,PetePa00,CB,ARI,"$11,000,000.00"
45,Terron Armstead,ArmsTe00,OT,NOR,"$10,700,000.00"
46,Jurrell Casey,CaseJu00,DL,TEN,"$10,550,000.00"
47,Bobby Wagner,WagnBo00,ILB,SEA,"$10,500,000.00"
,Ryan Kerrigan,KerrRy00,DE,WAS,"$10,500,000.00"
,Malcolm Butler,ButlMa01,CB,TEN,"$10,500,000.00"
50,Xavier Rhodes,RhodXa00,CB,MIN,"$10,400,000.00"
51,Eric Fisher,FishEr00,OT,KAN,"$10,350,000.00"
52,Andrew Whitworth,WhitAn20,T,LAR,"$10,250,000.00"
,Emmanuel Sanders,SandEm00,WR,2TM,"$10,250,000.00"
54,Janoris Jenkins,JenkJa03,CB,2TM,"$10,150,000.00"
55,Luke Kuechly,KuecLu00,ILB,CAR,"$10,000,059.00"
56,Zack Martin,MartZa00,G,DAL,"$10,000,000.00"
,Joe Haden,HadeJo99,DB,PIT,"$10,000,000.00"
,Tyron Smith,SmitTy00,OT,DAL,"$10,000,000.00"
,Ryan Jensen,JensRy00,T,TAM,"$10,000,000.00"
,Kevin Zeitler,ZeitKe00,G,NYG,"$10,000,000.00"
,Keenan Allen,AlleKe00,WR,LAC,"$10,000,000.00"
62,Allen Robinson,RobiAl02,WR,CHI,"$9,900,000.00"
63,Lavonte David,DaviLa00,OLB,TAM,"$9,750,000.00"
64,Kelechi Osemele,OsemKe00,T,NYJ,"$9,700,000.00"
65,Andrus Peat,PeatAn00,OT,NOR,"$9,625,000.00"
,D.J. Humphries,HumpD.00,OT,ARI,"$9,625,000.00"
67,Julio Jones,JoneJu02,WR,ATL,"$9,600,000.00"
68,Desmond Trufant,TrufDe00,CB,ATL,"$9,500,000.00"
,Logan Ryan,RyanLo00,CB,TEN,"$9,500,000.00"
,Jimmy Smith,SmitJi03,CB,BAL,"$9,500,000.00"
71,Danielle Hunter,HuntDa01,DE,MIN,"$9,400,000.00"
,Riley Reiff,ReifRi00,OT,MIN,"$9,400,000.00"
73,Nelson Agholor,AghoNe00,WR,PHI,"$9,387,000.00"
