Rk,Player,Player_ID,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,02:00:00 PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Harrison Butker,ButkHa00,KAN,24,,16,0,,,,,,,,,,,45,48,34,38,,147,9.2
2,Wil Lutz*,LutzWi00,NOR,25,,16,0,,,,,,,,,,,48,49,32,36,,144,9
3,Justin Tucker*+,TuckJu00,BAL,30,,16,0,,,,,,,,,,,57,59,28,29,,141,8.8
4,Zane Gonzalez,GonzZa00,ARI,24,,16,0,,,,,,,,,,,34,35,31,35,,127,7.9
5,Matt Gay,GayxMa00,TAM,25,,16,0,,,,,,,,,,,43,48,27,35,,124,7.8
6,Dan Bailey,BailDa00,MIN,31,,16,0,,,,,,,,,,,40,44,27,29,,121,7.6
7,Josh Lambo,LambJo00,JAX,29,,16,0,,,,,,,,,,,19,20,33,34,,118,7.4
8,Christian McCaffrey *+,McCaCh01,CAR,23,RB,16,16,15,4,,,,,,19,1,,,,,,,116,7.3
9,Chris Boswell,BoswCh00,PIT,28,,16,0,,,,,,,,,,,28,28,29,31,,115,7.2
10,Aaron Jones,JoneAa00,GNB,25,RB,16,16,16,3,,,,,,19,,,,,,,,114,7.1
11,Greg Zuerlein,ZuerGr00,LAR,32,,16,0,,,,,,,,,,,42,42,24,33,,114,7.1
12,Matt Prater,PratMa20,DET,35,,16,0,,,,,,,,,,,35,36,26,31,,113,7.1
13,Brandon McManus,McMaBr01,DEN,28,,16,0,,,,,,,,,,,25,26,29,34,,112,7
14,Robbie Gould,gouldrob01,SFO,37,,13,0,,,,,,,,,,,41,42,23,31,,110,8.5
15,Jason Myers,MyerJa00,SEA,28,,16,0,,,,,,,,,,,40,44,23,28,,109,6.8
16,Derrick Henry *,HenrDe00,TEN,25,RB,15,15,16,2,,,,,,18,,,,,,,,108,7.2
17,Mason Crosby,CrosMa20,GNB,35,,16,0,,,,,,,,,,,40,41,22,24,,106,6.6
18,Joey Slye,SlyeJo00,CAR,23,,16,0,,,,,,,,,,,31,35,25,32,,106,6.6
19,Randy Bullock,BullRa00,CIN,30,,16,0,,,,,,,,,,,24,25,27,31,,105,6.6
20,Austin Seibert,SeibAu00,CLE,23,,16,0,,,,,,,,,,,30,35,25,29,,105,6.6
21,Jason Sanders,SandJa00,MIA,24,,16,0,,1,,,,,,1,,,29,30,23,30,,104,6.5
22,Jake Elliott,ElliJa03,PHI,24,,16,0,,,,,,,,,,,35,37,22,26,,101,6.3
23,Ka'imi Fairbairn,FairKa01,HOU,25,,16,0,,,,,,,,,,,40,45,20,25,,100,6.3
24,Stephen Hauschka,HausSt00,BUF,34,,16,0,,,,,,,,,,,30,32,22,28,,96,6
25,Dustin Hopkins,HopkDu00,WAS,29,,16,0,,,,,,,,,,,21,22,25,30,,96,6
26,Brett Maher,MaheBr01,DAL,30,,13,0,,,,,,,,,,,36,36,20,30,,96,7.4
27,Eddy Pineiro,PineEd00,CHI,24,,16,0,,,,,,,,,,,27,29,23,28,,96,6
28,Mark Ingram*,IngrMa01,BAL,30,RB,15,15,10,5,,,,,,15,2,,,,,,,94,6.3
29,Daniel Carlson,CarlDa00,OAK,24,,16,0,,,,,,,,,,,34,36,19,26,,91,5.7
30,Todd Gurley,GurlTo01,LAR,25,RB,15,15,12,2,,,,,,14,1,,,,,,,86,5.7
31,Ezekiel Elliott*,ElliEz00,DAL,24,RB,16,16,12,2,,,,,,14,,,,,,,,84,5.3
32,Younghoe Koo,KooxYo00,ATL,25,,8,0,,,,,,,,,,,15,16,23,26,,84,10.5
33,Sam Ficken,FickSa00,NYJ,27,,15,0,,,,,,,,,,,23,26,19,27,,80,5.3
34,Chase McLaughlin,McLaCh00,3TM,23,,11,0,,,,,,,,,,,26,26,18,23,,80,7.3
35,Dalvin Cook*,CookDa01,MIN,24,RB,14,14,13,,,,,,,13,,,,,,,,78,5.6
36,Adam Vinatieri,vinatada01,IND,47,,12,0,,,,,,,,,,,22,28,17,25,,73,6.1
37,Aldrick Rosas,RosaAl00,NYG,25,,16,0,,,,,,,,,,,35,39,12,17,,71,4.4
