,Player,rnk,team,gp,gs,mins,a,s,sog,fc,off,ck,pka,pkg,yc,rc,Goals
0,Sam Kerr,1,CHI,21,21,1862,5,78,53,12,43,0,0,0,1,0,18
1,Lynn Williams,2,NC,22,21,1850,5,86,44,9,28,2,1,0,0,0,12
2,Kristen Hamilton,3,NC,22,17,1313,5,38,23,14,9,1,0,0,0,0,9
3,Amy Rodriguez,4,UTA,24,24,2090,0,63,32,26,14,0,1,1,2,0,9
4,Christine Sinclair,5,POR,17,17,1530,1,25,13,10,3,0,3,3,0,0,9
5, Debinha,6,NC,19,17,1527,7,59,25,11,5,33,1,0,0,0,8
6,Carli Lloyd,7,NJ,14,14,1260,1,50,21,29,11,1,2,1,2,0,8
7,Yuki Nagasato,8,CHI,24,24,2111,8,28,13,29,5,13,2,1,3,0,8
8,Christen Press,9,UTA,14,14,1255,2,55,26,4,13,58,0,0,1,0,8
9,Midge Purce,10,POR,22,16,1332,1,36,16,15,15,0,0,0,0,0,8
10,Crystal Dunn,11,NC,13,11,999,4,31,18,8,0,0,0,0,0,0,7
11,Ashley Hatch,12,WAS,24,24,2096,2,52,26,33,13,0,0,0,1,0,7
12,Bethany Balcer,13,SEA,24,19,1700,2,55,23,14,5,0,0,0,1,0,6
13, Marta,14,ORL,14,14,1254,0,34,14,15,0,18,1,1,4,1,6
14,Rachel Daly,15,HOU,17,17,1529,1,49,21,18,17,0,1,1,2,1,5
15,Sofia Huerta,16,HOU,24,23,2079,4,37,14,9,9,54,1,0,1,0,5
16,Jessica McDonald,17,NC,14,9,860,3,26,14,5,7,0,0,0,1,0,5
17,Jodie Taylor,18,SEA,16,15,1237,3,31,14,16,27,0,1,0,2,0,5
18,Jordan DiBiasi,19,WAS,22,20,1747,0,13,6,9,3,48,0,0,0,0,4
19,Rachel Hill,20,ORL,24,22,1850,2,32,14,33,17,1,0,0,2,0,4
20,Darian Jenkins,21,SEA,17,11,899,1,16,7,18,2,0,0,0,1,0,4
21,Kristie Mewis,22,HOU,22,20,1818,1,25,15,17,1,10,0,0,1,0,4
22,Hayley Raso,23,POR,14,11,1041,0,23,14,15,4,1,0,0,0,0,4
23,Chioma Ubogagu,24,ORL,17,15,1311,2,14,6,12,2,1,1,1,3,0,4
35,Vanessa DiBernardo,25,CHI,21,18,1547,2,24,9,15,1,20,0,0,0,0,3
36,Jessica Fishlock,26,SEA,5,5,414,1,18,10,3,2,4,0,0,0,0,3
37,Caitlin Foord,27,POR,17,9,836,2,16,8,18,16,0,1,0,3,0,3
38,Tobin Heath,28,POR,13,12,1093,3,28,16,18,8,72,0,0,1,0,3
39,Cheyna Matthews,29,WAS,17,9,905,2,26,16,15,13,0,0,0,3,0,3
40,Rocky Rodriguez,30,NJ,22,22,1921,3,26,11,23,0,0,0,0,2,0,3
41,Crystal Thomas,31,WAS,13,7,665,1,9,4,9,1,5,0,0,0,0,3
42,Imani Dorsey,32,NJ,23,23,1959,0,27,7,27,9,19,0,0,3,0,2
43,Elizabeth Eddy,33,NJ,20,15,1346,1,8,4,20,5,8,0,0,0,0,2
44,Brooke Elby,34,CHI,16,2,319,0,5,3,8,2,2,0,0,0,0,2
45,Shea Groom,35,SEA,15,14,1036,0,19,6,25,3,0,0,0,3,0,2
46,Jen Hoy,36,NJ,21,11,960,1,14,6,5,5,0,0,0,1,0,2
47,Lo’eau LaBonta,37,UTA,22,22,1858,2,18,11,21,0,12,0,0,1,0,2
48,Tyler Lussi,38,POR,12,1,277,1,7,3,4,2,0,0,0,1,0,2
49,Samantha Mewis,39,NC,12,11,995,1,26,6,18,2,3,2,2,1,0,2
61,Paige Monaghan,40,NJ,23,20,1759,1,32,10,23,13,3,0,0,2,0,2
62,Ifeoma Onumonu,41,SEA,20,8,995,1,16,9,11,8,0,0,0,1,0,2
63,Leah Pruitt,42,NC,14,6,554,1,18,8,8,5,0,0,0,1,0,2
64,Mallory Pugh,43,WAS,9,9,765,2,16,6,8,7,20,1,0,0,0,2
65,Casey Short,44,CHI,23,23,2055,3,18,10,20,1,0,0,0,2,0,2
66,Kyah Simon,45,HOU,10,4,411,2,9,5,5,4,1,0,0,0,0,2
67,Emily Ann Sonnett,46,POR,13,12,1088,0,7,3,12,2,0,0,0,2,1,2
68,Julia Spetsmark,47,NC,11,2,286,1,15,6,7,7,0,0,0,1,0,2
69,Katie Stengel,48,UTA,24,16,1476,1,31,18,20,9,0,0,0,1,0,2
70,Andi Sullivan,49,WAS,23,23,2070,0,27,7,16,0,0,0,0,1,0,2
71,Michele Vasconcelos,50,CHI,11,5,486,3,14,5,4,1,0,0,0,1,0,2
72,Kealia Watt,51,HOU,23,22,1801,1,27,13,10,15,0,0,0,0,0,2
73,Rosie White,52,SEA,9,8,655,1,19,8,14,5,8,0,0,0,0,2
74, Andressinha,53,POR,7,4,371,0,1,2,4,0,10,0,0,0,0,1
86,Dorian Bailey,54,WAS,19,12,1223,0,7,5,2,0,1,0,0,0,0,1
87,Joanna Boyles,55,ORL,19,16,1379,2,8,5,16,1,6,0,0,0,0,1
88,Morgan Brian,56,CHI,13,11,952,1,10,3,7,3,1,0,0,0,0,1
89,Amber Brooks,57,HOU,24,24,2160,0,20,8,16,3,0,0,0,2,0,1
90,Dagný Brynjarsdóttir,58,POR,21,17,1564,0,17,4,30,1,0,0,0,3,0,1
91, Camila,59,ORL,16,4,579,0,11,7,17,0,9,1,1,2,0,1
92, Celia,60,SEA,12,10,899,0,3,1,16,1,1,0,0,3,0,1
93,Danielle Colaprico,61,CHI,19,18,1566,0,6,3,17,0,27,0,0,2,0,1
94,Rachel Corsie,62,UTA,19,19,1710,0,8,4,10,2,0,0,0,2,0,1
95,Ana-Maria Crnogorcevic,63,POR,12,9,761,1,10,3,8,0,0,0,0,0,0,1
96,Megan Crosson,64,WAS,9,3,382,0,3,2,5,0,1,0,0,0,0,1
97,Jaelene Daniels,65,NC,24,24,2160,6,5,2,14,3,4,0,0,1,0,1
98,Tierna Davidson,66,CHI,13,13,1084,0,3,3,4,0,26,0,0,0,0,1
99,Makenzy Doniak,67,UTA,11,1,167,0,1,1,0,1,0,0,0,0,0,1
100,Abby Erceg,68,NC,20,20,1775,0,15,7,8,0,0,0,0,1,0,1
112,Danica Evans,69,ORL,9,3,322,1,8,4,8,1,0,0,0,0,0,1
113,Marissa Everett,70,POR,4,0,35,0,4,3,0,1,1,0,0,0,0,1
114,Bayley Feist,71,WAS,12,4,470,2,6,4,9,1,0,0,0,2,0,1
115,Erin Greening,72,ORL,17,16,1438,0,3,1,13,0,0,0,0,3,0,1
116,Lindsey Horan,73,POR,13,13,1147,2,34,18,25,9,0,0,0,2,0,1
117,Katie Johnson,74,CHI,19,11,1046,3,18,7,20,6,0,0,0,1,2,1
118,Gunnhildur Jónsdóttir,75,UTA,24,19,1795,4,16,3,22,2,0,0,0,1,0,1
119,Alanna Stephanie Kennedy,76,ORL,15,15,1349,0,17,7,10,0,0,0,0,2,1,1
120,Rose Lavelle,77,WAS,6,5,450,1,9,6,4,0,3,0,0,1,0,1
121,Chloe Logarzo,78,WAS,15,9,796,0,6,2,13,1,6,1,0,1,0,1
122,Tiffany McCarty,79,WAS,1,0,38,0,2,2,0,3,0,0,0,0,0,1
123,Savannah McCaskill,80,CHI,22,12,1045,1,22,13,21,5,19,0,0,1,0,1
124,McKenzie Meehan,81,NJ,6,0,56,0,1,1,3,2,0,0,0,0,0,1
125,Christine Nairn,82,HOU,22,19,1663,2,8,5,16,1,21,0,0,6,0,1
137,Heather O'Reilly,83,NC,13,4,437,1,2,2,2,1,21,1,0,0,0,1
138,Toni Pressley,84,ORL,10,9,828,0,3,3,8,0,0,0,0,1,0,1
139,Nichelle Prince,85,HOU,4,4,343,0,11,9,6,4,0,0,0,0,0,1
140,Domi Richardson,86,NJ,8,5,509,0,3,1,2,0,8,0,0,0,0,1
141,Becky Sauerbrunn,87,UTA,14,14,1260,0,4,3,3,0,0,0,0,0,0,1
142,Samantha Staab,88,WAS,24,24,2160,1,10,3,10,1,2,0,0,4,0,1
143,Marisa Viggiano,89,ORL,19,14,1222,0,7,2,9,9,6,0,0,1,0,1
144,Sarah Woldmoe,90,NJ,24,24,2160,3,8,1,25,2,31,1,1,0,0,1
145,Arin Wright,91,CHI,17,17,1505,1,17,5,10,0,0,0,0,0,0,1
146,Beverly Yanez,92,SEA,21,20,1746,0,30,9,29,1,1,0,0,1,0,1
147,Shelina Zadorsky,93,ORL,16,16,1440,0,7,2,6,0,0,0,0,1,0,1
148,Lindsay Agnew,94,HOU,7,5,373,0,1,1,7,1,0,0,0,2,0,0
149,Morgan Andrews,95,SEA,9,7,604,0,6,2,10,0,3,0,0,0,0,0
150,Elizabeth Ball,96,POR,15,13,1089,0,2,1,14,0,1,0,0,2,0,0
151,Lauren Barnes,97,SEA,23,23,2070,0,0,0,9,0,17,0,0,5,0,0
163,Jorian Baucom,98,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Nicole Baxter,99,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,McKenzie Berryhill,100,WAS,3,2,196,0,1,0,2,0,0,0,0,0,0,0
166,Verónica Boquete,101,UTA,21,19,1630,6,7,3,21,0,22,0,0,0,0,0
167,Celeste Boureille,102,POR,10,7,650,1,3,0,7,0,0,0,0,2,0,0
168,Kate Bowen,103,UTA,19,17,1504,0,6,2,10,0,0,0,0,1,0,0
169,Betsy Brandon,104,HOU,1,0,1,0,0,0,0,0,0,0,0,0,0,0
170,Katy Byrne,105,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Ariana Calderón,106,HOU,8,0,130,1,4,3,10,4,0,0,0,1,0,0
172,Bridget Callahan,107,ORL,8,6,496,0,1,0,4,0,7,0,0,1,0,0
173,Ellie Carpenter,108,POR,16,14,1221,1,3,1,12,4,0,0,0,0,0,0
174,Steph Catley,109,SEA,15,15,1305,2,3,1,7,1,25,0,0,1,0,0
175,Allysha Chapman,110,HOU,14,14,1216,0,0,0,15,0,0,0,0,2,0,0
176,Simone Charley,111,POR,11,6,496,2,13,3,9,9,0,0,0,0,0,0
177,Taylor Comeau,112,HOU,1,1,90,0,0,0,1,0,0,0,0,0,0,0
189,Meghan Cox,113,UTA,2,0,8,0,0,0,1,0,0,0,0,0,0,0
190,Stephanie Cox,114,SEA,7,3,291,0,3,1,2,0,4,0,0,0,0,0
191,Grace Cutler,115,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Abby Dahlkemper,116,NC,14,14,1260,0,1,1,3,0,41,1,0,0,0,0
193,Kiersten Dallstream,117,SEA,2,0,33,0,0,0,0,0,0,0,0,0,0,0
194,Hannah Davison,118,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Schuyler DeBree,119,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Meggie Dougherty Howard,120,WAS,22,18,1562,0,13,5,37,0,0,0,0,5,0,0
197,Caprice Dydasco,121,NJ,23,23,2028,0,8,3,19,2,0,0,0,2,0,0
198,Kristen Edmonds,122,ORL,13,9,866,0,3,0,6,2,0,0,0,2,0,0
199, Abby Elinsky,123,ORL,18,4,548,0,9,4,14,4,0,0,0,3,0,0
200,Claire Emslie,124,ORL,11,9,773,1,13,4,11,0,16,0,0,4,0,0
201,Julie Ertz,125,CHI,14,14,1260,1,17,3,11,1,1,0,0,2,0,0
