,Player,rnk,team,gp,gs,mins,ga,gaa,sog,cs,yc,rc,Saves
0,Aubrey Bledsoe,1,WAS,24,24,2149,25,1.05,111,9,0,0,86
1,Kailen Sheridan,2,NJ,19,19,1710,25,1.32,111,3,1,0,86
2,Casey Murphy,3,SEA,19,19,1710,21,1.11,93,6,1,0,73
3,Jane Campbell,4,HOU,24,24,2160,36,1.5,107,6,0,0,71
4,Nicole Barnhart,5,UTA,24,24,2160,25,1.04,86,10,0,0,61
5,Ashlyn Harris,6,ORL,13,13,1170,27,2.08,85,1,0,0,58
6,Haley Kopmeyer,7,ORL,10,10,900,23,2.3,70,0,0,0,47
7,Alyssa Naeher,8,CHI,14,14,1260,15,1.07,58,6,0,0,43
8,Adrianna Franch,9,POR,14,14,1260,20,1.43,62,5,0,0,42
9,Britt Eckerstrom,10,POR,10,10,900,11,1.1,44,3,0,0,33
10,Stephanie Labbé,11,NC,16,16,1440,11,0.69,44,8,0,0,33
11,Emily Boyd,12,CHI,10,10,900,13,1.3,35,2,0,0,22
12,Katelyn Rowland,13,NC,6,6,540,11,1.83,26,0,0,0,15
13,Michelle Betos,14,SEA,4,4,359,3,0.75,17,1,0,0,14
14,Lydia Williams,15,SEA,1,1,90,3,3,9,0,0,0,6
15,Lainey Burdett,16,ORL,1,1,90,3,3,7,0,0,0,4
16,Samantha Murphy,17,NC,2,2,180,1,0.5,4,1,0,0,3
17,Shae Yanez,18,WAS,1,0,11,0,0,2,0,0,0,2
18,Mackenzie Arnold,19,CHI,0,0,0,0,0,0,0,0,0,0
19,Bella Bixby,20,POR,0,0,0,0,0,0,0,0,0,0
20,Kori Butterfield,21,SEA,0,0,0,0,0,0,0,0,0,0
21,Bianca Henninger,22,HOU,0,0,0,0,0,0,0,0,0,0
22,Alison Jahansouz,23,CHI,0,0,0,0,0,0,0,0,0,0
23,Devon Kerr,24,HOU,0,0,0,0,0,0,0,0,0,0
36,Kaylan Marckese,25,NJ,0,0,0,0,0,0,0,0,0,0
37,Abby Smith,26,UTA,0,0,0,0,0,0,0,0,0,0
38,Scout Watson,27,SEA,0,0,0,0,0,0,0,0,0,0
