Rnk,Name,Team,Interceptions,Return Yards,Return Long,Return TDs
1,Shantia Creech,Renegades,12,295,61,5
2,Destanie Yarbrough,War,3,55,        NR,1
3,Lisa King,War,3,45,        NR,1
4,Jessica Johnson,Divas,3,14,14,1
5,Briannah Gallo,Renegades,3,14,12,0
6,Brooke Kent,Titans,2,50,30,1
7,Brooke Gause,Renegades,2,41,39,0
8,Cynthia Ybarra,War,2,35,        NR,0
9,Krishna Lee,Titans,2,31,18,0
10,Alexias Stricklin,Elite,2,30,30,1
11,Benita Jones,Titans,2,3,3,0
12,Jasmine Edwards,War,1,85,        NR,1
13,Kielyn Wilson,War,1,55,        NR,1
14,Andrea Fullmore,Renegades,1,47,47,0
15,Tara Thomas,Impact,1,45,45,0
16,Tori Noda,Renegades,1,44,44,1
17,Annamarie Fagnani,Renegades,1,42,42,1
18,Hassa Weatherd,Elite,1,38,38,1
19,DAngela Ricks ,Impact,1,32,32,1
20,Shannon Singletary,Renegades,1,26,26,0
21,Charlene Casey,Renegades,1,23,23,0
22,Maddie Rosas,Titans,1,20,20,0
23,Nahndy Malbrough,Elite,1,12,12,0
24,Ebony Jones,Elite,1,8,8,0
25,Cierra Childress,Titans,1,2,2,0
