Rnk,Name,Team,Yards,Rec,Avg,TD,Long
1,Lexie Floor,Divas,621,26,23.9,7,58
2,Jamie Robinson,War,614,26,23.6,13,60
3,Lisa King,War,455,19,23.9,8,55
4,Stephanie Pascual,Renegades,450,23,19.6,8,94
5,Brooke Kent,Titans,447,23,19.4,7,77
6,Kentrina Wilson,Divas,414,17,24.4,5,78
7,Dajah Scott,Divas,371,22,16.9,3,76
8,Kielyn Wilson,War,330,11,30,4,70
9,Emily Beinecke,Renegades,318,25,12.7,3,50
10,Svetlana Stepanchuk,War,314,20,15.7,3,55
11,Satoria Bell,Renegades,298,23,13,9,52
12,Adrienne Smith,Renegades,283,26,10.9,4,41
13,Kasee Hilliard,Divas,254,14,18.1,8,46
14,Janathia Curry,Impact,228,8,28.5,3,60
15,Sarah Tully,Renegades,219,18,12.2,2,37
16,Ruth Matta,Renegades,207,10,20.7,2,94
17,Anna Kraft,Elite,196,16,12.2,1,27
18,Krishna Lee,Titans,191,15,12.7,2,30
19,Dana Blakey,Divas,170,12,14.2,1,37
20,Remy Olinzock,Divas,168,10,16.8,1,66
21,Shaquanda Gainey ,Divas,166,9,18.4,3,30
22,Kathryn Tylander,Renegades,130,13,10,3,27
23,Oli Davies,Titans,129,8,16.1,2,30
24,Tianisia Johnson,Elite,103,5,20.6,2,44
25,Destanie Yarbrough,War,102,9,11.3,0,17
