Rnk,Name,Team,Sacks
1,Reese Green,Impact,9.5
2,Charise Blacksher,Impact,8
3,Jennifer Dulski,Titans,7.5
4,Allie Genereux,Renegades,7
5,Danielle Fournier,Renegades,4
6,Krishna Lee,Titans,4
7,Deanna Walsh,Renegades,3
8,Devin Smith,Titans,2
9,Jamiene Wiggins-Turner,Titans,2
10,Paris Winchester,Titans,2
11,Jessica Johnson,Divas,2
12,Tara Mason,Divas,2
13,Sierra Vaughns,Impact,2
14,Epiphany Carroll,Impact,2
15,Brittany Howard,Elite,2
16,Whitney Lee,Impact,2
17,Charlene Casey,Renegades,2
18,Ebony Jones,Elite,2
19,Kimesha Sanders,Elite,2
20,Kristen Sarson,Renegades,2
21,Danielle Harrison,Renegades,2
22,Miteka Trueheart,Divas,2
23,Deonna Pittman,Impact,1.5
24,Angela Bandstra,War,1
25,Shardonney Jenkins,War,1
