Rnk,Name,Team,Combined,Solo,Assists,For Loss
1,Krishna Lee,Titans,124,86,38,24
2,Jennifer Dulski,Titans,90,61,29,34.5
3,Allie Genereux,Renegades,73,41,32,10
4,Briannah Gallo,Renegades,65,31.5,33,0
5,Charise Blacksher,Impact,64,35,29,12
6,Danielle Fournier,Renegades,63,32.5,31,8
7,Syreeta Gapelu,Titans,61,38,23,13
8,Hassa Weatherd,Elite,59,26,33,8
9,Charlene Casey,Renegades,57,25.5,31,3
10,Epiphany Carroll,Impact,56,36,20,10.5
11,Kristen Sarson,Renegades,55,23,32,6
12,Jamiene Wiggins-Turner,Titans,54,31,23,9
13,Nyala Bulock,Titans,54,30,24,1
14,Deonna Pittman,Impact,53,28.5,25,9.5
15,Reese Green,Impact,50,32,18,13.5
16,Maddie Rosas,Titans,49,32,17,6
17,Eldhah Kaswatuka,Impact,49,31,18,8
18,Ebony Jones,Elite,45,23,22,6
19,Oli Davies,Titans,43,28,15,0
20,Devin Smith,Titans,41,25,16,5
21,Christine Dorenkamp,Titans,41,27,14,2.5
22,Jessica Johnson,Divas,40,39.5,0,2
23,Shakendra Gabriel,Impact,40,22.5,18,2
24,Paris Winchester,Titans,40,21,19,5
25,Jeannette Jimenez,War,38,33.5,4,2
26,Benita Jones,Titans,35,25,10,0
27,Brooke Kent,Titans,35,22,13,2
28,Courtnei Townson,Impact,35,23,12,13
29,Andrea Fullmore,Renegades,33,17.5,15,2
30,Destanie Yarbrough,War,32,30,2,4
31,Jasmine Marby,War,32,32,0,0
32,Shantia Creech,Renegades,31,20.5,11,2
33,Alexias Stricklin,Elite,30,13,17,0
34,Louise Ogadinma,Titans,30,13,17,4.5
35,Alaydrain Cofer,Impact,29,16.5,13,4
36,Danielle Harrison,Renegades,29,13.5,15,2
37,Christina Riggieri,Renegades,29,11.5,17,0
38,Samantha Bloom,Renegades,28,18,10,0
39,Whitney Simms,Divas,28,27.5,0,7
40,Liz Sowers,Titans,25,17,8,0
