Rank,Player,Team,GP,GAA,Save_Percentage
1,Nicole Hensley ,Buffalo Beauts  ,15,1.5,0.935
2,Shannon Szabados ,Buffalo Beauts  ,15,1.49,0.934
3,Amanda Leveille ,Minnesota Whitecaps  ,16,2.09,0.923
4,Kaitlin Burt ,Boston Pride  ,16,2.26,0.92
5,Meeri Räisänen ,Connecticut Whale  ,12,3.03,0.908
6,Katie Fitzgerald ,Metropolitan Riveters  ,15,3.32,0.886
7,Kimberly Sass ,Metropolitan Riveters  ,12,3.83,0.885
8,Brittany Ott ,Boston Pride  ,12,1.88,0.8
,LESS THAN 10 GAMES,,,,
1,Julie Friend ,Minnesota Whitecaps  ,9,2.41,0.892
2,Shenae Lundberg ,Connecticut Whale  ,3,3.43,0.869
3,Erin O'Neil ,Connecticut Whale  ,3,5.4,0.855
4,Maria Sorokina ,Metropolitan Riveters  ,4,5.68,0.756
5,Sam Walther ,Connecticut Whale  ,5,10.48,0.667
6,Laura Brennan ,Connecticut Whale  ,4,19.58,0.611
7,Madison Litchfield ,Boston Pride  ,5,0,0
8,Sydney Rossman ,Minnesota Whitecaps  ,4,0,0
9,Maria Sorokina ,Connecticut Whale  ,3,0,0
10,Sarah Bryant ,Metropolitan Riveters  ,2,0,0
 , , , , , 
11,Julia DiTondo ,Buffalo Beauts  ,- ,- ,- 
