Rank,Player,Team,GP,G,A,TP,PPG,PIM,Plus_Minus
1,Hayley Scamurra (F) ,Buffalo Beauts  ,16,10,10,20,1.25,12,16
2,Maddie Elia (F) ,Buffalo Beauts  ,16,12,7,19,1.19,32,16
3,Jonna Curtis (F) ,Minnesota Whitecaps  ,16,8,11,19,1.19,12,5
4,Haley Skarupa (F) ,Boston Pride  ,13,6,12,18,1.38,6,1
5,McKenna Brand (F) ,Boston Pride  ,16,6,11,17,1.06,6,11
6,Amanda Kessel (F) ,Metropolitan Riveters  ,13,2,15,17,1.31,6,-2
7,Gigi Marvin (D) ,Boston Pride  ,15,10,6,16,1.07,8,3
8,Dani Cameranesi (F) ,Buffalo Beauts  ,14,4,11,15,1.07,6,17
9,Jillian Dempsey (F) ,Boston Pride  ,16,10,4,14,0.88,0,8
10,Kendall Coyne Schofield (LW) ,Minnesota Whitecaps  ,13,7,7,14,1.08,4,10
11,Denisa Krizova (F) ,Boston Pride  ,16,6,8,14,0.88,4,6
12,Madison Packer (F) ,Metropolitan Riveters  ,15,8,5,13,0.87,35,-3
13,Julianna Iafallo (F) ,Buffalo Beauts  ,16,6,7,13,0.81,4,8
14,Amanda Boulier (D) ,Minnesota Whitecaps  ,16,5,8,13,0.81,16,6
15,Blake Bolden (D) ,Buffalo Beauts  ,16,1,12,13,0.81,4,11
16,Katerina Mrazova (F/C) ,Connecticut Whale  ,15,6,6,12,0.8,4,-12
17,Amanda Pelkey (RW) ,Boston Pride  ,16,5,7,12,0.75,4,1
18,Annika Zalewski (F) ,Buffalo Beauts  ,16,3,9,12,0.75,2,2
19,Katie McGovern (F) ,Minnesota Whitecaps  ,16,6,5,11,0.69,2,6
20,Hannah Brandt (C) ,Minnesota Whitecaps  ,16,5,6,11,0.69,0,6
21,Kate Schipper (F) ,Minnesota Whitecaps  ,16,5,6,11,0.69,6,2
22,Emily Fluke (F) ,Connecticut Whale  ,16,3,8,11,0.69,4,-8
23,Amy Menke (F) ,Minnesota Whitecaps  ,15,4,6,10,0.67,8,1
24,Kelly Babstock (F) ,Buffalo Beauts  ,16,4,6,10,0.63,22,9
25,Allie Thunstrom (F) ,Minnesota Whitecaps  ,16,5,4,9,0.56,4,5
26,Kaleigh Fratkin (D) ,Boston Pride  ,16,2,7,9,0.56,26,3
27,Lisa Chesson (D) ,Buffalo Beauts  ,16,1,8,9,0.56,6,13
28,Lee Stecklein (D) ,Minnesota Whitecaps  ,16,1,8,9,0.56,8,12
29,Audra Richards (F) ,Metropolitan Riveters  ,16,8,0,8,0.5,4,-10
30,Rebecca Russo (F) ,Metropolitan Riveters  ,16,5,3,8,0.5,2,-3
