Question,Time,Team,Wager,Answer,Correct,Points_Earned
1-1,10/4/2020 18:33:50,Team MBF,3,French,x,3
1-1,10/4/2020 18:33:54,Mack Wickell,1,French,x,1
1-1,10/4/2020 18:33:58,QotD,3,Italian,,0
1-1,10/4/2020 18:34:12,Team Jax,1,italian,,0
1-1,10/4/2020 18:34:17,Fellowship of the Beer,3,Portuguese,,0
1-1,10/4/2020 18:34:22,Team Bag-Bo,1,Italian,,0
1-1,10/4/2020 18:34:43,Skinny Legends,3,italian,,0
1-1,10/4/2020 18:39:42,Team Matigale,1,no guess,,0
1-2,10/4/2020 18:36:17,Team MBF,5,Canada,,0
1-2,10/4/2020 18:36:25,Mack Wickell,5,Australia,x,5
1-2,10/4/2020 18:36:45,Fellowship of the Beer,1,Australia,x,1
1-2,10/4/2020 18:36:55,Team Jax,5,Australia,x,5
1-2,10/4/2020 18:37:02,Skinny Legends,7,australia,x,7
1-2,10/4/2020 18:38:26,QotD,5,Australia ,x,5
1-2,10/4/2020 18:39:42,Team Matigale,3,Australia,x,3
1-2,10/4/2020 18:39:50,Team Bag-Bo,3,Brazil,,0
1-3,10/4/2020 18:42:50,Mack Wickell,7,Jay Leno,,0
1-3,10/4/2020 18:43:09,Fellowship of the Beer,5,David Letterman,,0
1-3,10/4/2020 18:43:41,Team Bag-Bo,7,Howard Stern,,0
1-3,10/4/2020 18:43:53,Team Matigale,7,David Letterman,,0
1-3,10/4/2020 18:44:14,Skinny Legends,1,conan,x,1
1-3,10/4/2020 18:44:34,Team Jax,3,Jay Leno,,0
1-3,10/4/2020 18:44:46,Team MBF,1,Jay Leno,,0
1-3,10/4/2020 18:45:07,QotD,1,Letterman,,0
1-4,10/4/2020 18:40:27,Fellowship of the Beer,7,M&Ms,x,7
1-4,10/4/2020 18:40:37,Team Jax,7,M&Ms,x,7
1-4,10/4/2020 18:40:39,Skinny Legends,5,M&Ms,x,5
1-4,10/4/2020 18:40:40,Team MBF,7,M&M,x,7
1-4,10/4/2020 18:40:47,Team Matigale,5,tootsie pop,,0
1-4,10/4/2020 18:40:51,QotD,7,M and M,x,7
1-4,10/4/2020 18:40:59,Mack Wickell,3,Hersheys Kisses,,0
1-4,10/4/2020 18:41:34,Team Bag-Bo,5,Cotton candy,,0
2-1,10/4/2020 18:54:28,Mack Wickell,3,Gold Digger,x,3
2-1,10/4/2020 18:54:41,Team MBF,7,Gold Digger! ,x,7
2-1,10/4/2020 18:54:48,Fellowship of the Beer,7,Gold digger,x,7
2-1,10/4/2020 18:55:02,Team Jax,7,Goldigger,x,7
2-1,10/4/2020 18:55:06,Team Matigale,7,Gold Digger ,x,7
2-1,10/4/2020 18:55:33,Team Bag-Bo,7,Gold Digger,x,7
2-1,10/4/2020 18:55:55,QotD,0.5,Gold,x,0.5
2-1,10/4/2020 18:56:32,Skinny Legends,7,gold digger,x,7
2-2,10/4/2020 18:58:54,Mack Wickell,7,Black Flag,x,7
2-2,10/4/2020 18:58:59,Team Jax,3,Black Flag,x,3
2-2,10/4/2020 18:59:10,Fellowship of the Beer,5,Black Flag (ARRRRRR!!!!!!),x,5
2-2,10/4/2020 18:59:20,Team Bag-Bo,3,Black Flag,x,3
2-2,10/4/2020 18:59:33,QotD,3,Apollo creed,,0
2-2,10/4/2020 18:59:49,Skinny Legends,3,black flag,x,3
2-2,10/4/2020 18:59:57,Team MBF,3,Treasure Island?,,0
2-2,10/4/2020 19:00:04,Team Matigale,1,Davy Jones' Locker! Arrr,,0
2-3,10/4/2020 18:57:19,Skinny Legends,5,newton,x,5
2-3,10/4/2020 18:57:22,Team Bag-Bo,5,Gram,,0
2-3,10/4/2020 18:57:46,Team Jax,5,Newton,x,5
2-3,10/4/2020 18:57:50,Fellowship of the Beer,1,lbs (pounds),,0
2-3,10/4/2020 18:57:59,QotD,5,International system of weight,,0
2-3,10/4/2020 18:58:02,Mack Wickell,1,Newtons,x,1
2-3,10/4/2020 18:58:11,Team Matigale,5,Newtons (N) ,x,5
2-3,10/4/2020 18:58:19,Team MBF,1,science is not our category :(,,0
