,Player,Team,Position,Salary
0,Skylar Diggins-Smith, PHOENIX MERCURY,GUARD,215000.0
1,Brittney Griner, PHOENIX MERCURY,CENTER,215000.0
2,Sue Bird, SEATTLE STORM,GUARD,215000.0
3,DeWanna Bonner, CONNECTICUT SUN,FORWARD,215000.0
4,Elena Delle Donne, WASHINGTON MYSTICS,FORWARD,215000.0
5,Emma Meesseman, WASHINGTON MYSTICS,FORWARD,215000.0
6,Courtney Vandersloot, CHICAGO SKY,GUARD,206000.0
7,Allie Quigley, CHICAGO SKY,GUARD,200000.0
8,Jazmine Jones, NEW YORK LIBERTY,GUARD,196378.0
9,Chelsea Gray, LOS ANGELES SPARKS,GUARD,195000.0
10,Bria Hartley, PHOENIX MERCURY,GUARD,185000.0
11,Breanna Stewart, SEATTLE STORM,FORWARD,185000.0
12,Angel McCoughtry, LAS VEGAS ACES,FORWARD,185000.0
13,Jonquel Jones, CONNECTICUT SUN,FORWARD,185000.0
14,Courtney Williams, ATLANTA DREAM,GUARD,185000.0
15,Kristi Toliver, LOS ANGELES SPARKS,GUARD,185000.0
16,Astou Ndour, DALLAS WINGS,CENTER,185000.0
17,Stefanie Dolson, CHICAGO SKY,CENTER,180250.0
18,Tina Charles, WASHINGTON MYSTICS,CENTER,175000.0
19,Shekinna Stricklen, ATLANTA DREAM,FORWARD,170000.0
20,Moriah Jefferson, DALLAS WINGS,GUARD,170000.0
21,Kahleah Copper, CHICAGO SKY,GUARD,165000.0
22,Glory Johnson, ATLANTA DREAM,FORWARD,165000.0
23,Isabelle Harrison, DALLAS WINGS,FORWARD,150000.0
24,Tiffany Mitchell, INDIANA FEVER,GUARD,140000.0
25,Danielle Robinson, LAS VEGAS ACES,GUARD,130000.0
26,Bria Holmes, CONNECTICUT SUN,GUARD,130000.0
27,Leilani Mitchell, WASHINGTON MYSTICS,GUARD,127000.0
28,Layshia Clarendon, NEW YORK LIBERTY,GUARD,120000.0
29,Candace Parker, LOS ANGELES SPARKS,FORWARD,119500.0
30,Diana Taurasi, PHOENIX MERCURY,GUARD,119500.0
31,Jewell Loyd, SEATTLE STORM,GUARD,119500.0
32,Candice Dupree, INDIANA FEVER,FORWARD,119500.0
33,Briann January, CONNECTICUT SUN,GUARD,119500.0
34,Jasmine Thomas, CONNECTICUT SUN,GUARD,119500.0
35,Chiney Ogwumike, LOS ANGELES SPARKS,FORWARD,119500.0
36,Tiffany Hayes, ATLANTA DREAM,GUARD,117520.0
37,Nneka Ogwumike, LOS ANGELES SPARKS,FORWARD,117000.0
38,Jessica Breland, PHOENIX MERCURY,FORWARD,117000.0
39,Natasha Howard, SEATTLE STORM,FORWARD,117000.0
40,Odyssey Sims, MINNESOTA LYNX,GUARD,117000.0
41,Jantel Lavender, CHICAGO SKY,FORWARD,117000.0
42,Dearica Hamby, LAS VEGAS ACES,FORWARD,117000.0
43,Kayla McBride, LAS VEGAS ACES,GUARD,117000.0
44,Maya Moore, MINNESOTA LYNX,FORWARD,117000.0
45,Natasha Cloud, WASHINGTON MYSTICS,GUARD,117000.0
46,Alyssa Thomas, CONNECTICUT SUN,FORWARD,117000.0
47,LaToya Sanders, WASHINGTON MYSTICS,FORWARD,117000.0
48,Elizabeth Williams, ATLANTA DREAM,CENTER,117000.0
49,Sylvia Fowles, MINNESOTA LYNX,CENTER,115627.0
50,Morgan Tuck, SEATTLE STORM,FORWARD,115000.0
51,Riquna Williams, LOS ANGELES SPARKS,GUARD,112000.0
52,Seimone Augustus, LOS ANGELES SPARKS,GUARD,110000.0
53,Cheyenne Parker, CHICAGO SKY,FORWARD,110000.0
54,Amanda Zahui B, NEW YORK LIBERTY,CENTER,110000.0
55,Renee Montgomery, ATLANTA DREAM,GUARD,109200.0
56,Natalie Achonwa, INDIANA FEVER,CENTER,107000.0
57,Shenise Johnson, MINNESOTA LYNX,GUARD,106000.0
58,Damiris Dantas, MINNESOTA LYNX,FORWARD,105000.0
59,Crystal Langhorne, SEATTLE STORM,FORWARD,105000.0
60,Karima Christmas-Kelly, MINNESOTA LYNX,FORWARD,104000.0
61,Theresa Plaisance, CONNECTICUT SUN,FORWARD,104000.0
62,Rachel Banham, MINNESOTA LYNX,GUARD,100000.0
63,Kiah Stokes, NEW YORK LIBERTY,CENTER,91000.0
64,Tierra Ruffin-Pratt, LOS ANGELES SPARKS,GUARD,90000.0
65,Betnijah Laney, INDIANA FEVER,GUARD,90000.0
66,Kayla Thornton, DALLAS WINGS,FORWARD,87700.0
67,Alysha Clark, SEATTLE STORM,FORWARD,85800.0
68,Erica Wheeler, INDIANA FEVER,GUARD,81600.0
69,Rebecca Allen, NEW YORK LIBERTY,GUARD,81600.0
70,Sugar Rodgers, LAS VEGAS ACES,GUARD,80000.0
71,Aerial Powers, WASHINGTON MYSTICS,FORWARD,80000.0
72,Tianna Hawkins, WASHINGTON MYSTICS,FORWARD,71400.0
73,Kaleena Mosqueda-Lewis, CONNECTICUT SUN,FORWARD,71400.0
74,Sydney Colson, CHICAGO SKY,GUARD,70000.0
75,Chennedy Carter, ATLANTA DREAM,GUARD,68000.0
76,Blake Dietrick, ATLANTA DREAM,GUARD,68000.0
77,Alexis Jones, ATLANTA DREAM,GUARD,68000.0
78,Imani McGee-Stafford, DALLAS WINGS,CENTER,68000.0
79,Satou Sabally, DALLAS WINGS,FORWARD,68000.0
80,Nia Coffey, PHOENIX MERCURY,FORWARD,68000.0
81,Yvonne Turner, PHOENIX MERCURY,GUARD,68000.0
82,Brittney Sykes, LOS ANGELES SPARKS,GUARD,68000.0
83,Sydney Wiese, LOS ANGELES SPARKS,GUARD,68000.0
84,Lauren Cox, INDIANA FEVER,FORWARD,68000.0
85,Kayla Alexander, MINNESOTA LYNX,CENTER,68000.0
86,Epiphanny Prince, SEATTLE STORM,GUARD,68000.0
87,Sami Whitcomb, SEATTLE STORM,GUARD,68000.0
88,Kelsey Plum, LAS VEGAS ACES,GUARD,68000.0
89,Sabrina Ionescu, NEW YORK LIBERTY,GUARD,68000.0
90,Brionna Jones, CONNECTICUT SUN,CENTER,68000.0
